,Percentage
Alabama,13.2
Alaska,7.7
Arizona,9.7
Arkansas,12.1
California,9.7
Colorado,6.2
Connecticut,8.5
Delaware,9.1
District Of Columbia,8.4
Florida,9.8
Georgia,11.4
Hawaii,9.5
Idaho,8.1
Illinois,9.5
Indiana,10.4
Iowa,8.1
Kansas,8.5
Kentucky,11.8
Louisiana,11.1
Maine,8.5
Maryland,9.8
Massachusetts,8.3
Michigan,9.8
Minnesota,7.6
Mississippi,12.4
Missouri,10.2
Montana,6.9
Nebraska,8
Nevada,10.1
New Hampshire,7.7
New Jersey,8.1
New Mexico,10.4
New York,9.4
North Carolina,10.1
North Dakota,8.2
Ohio,9.7
Oklahoma,10.9
Oregon,8.4
Pennsylvania,9.6
Rhode Island,8.6
South Carolina,11.5
South Dakota,6.9
Tennessee,11.2
Texas,10.9
Utah,7.7
Vermont,7.3
Virginia,9.6
Washington,8.6
West Virginia,12.7
Wisconsin,8.6
Wyoming,7.6
