,2017,2018,2019
Alabama,41030,42710,44145
Alaska,57394,60355,62806
Arizona,42590,44597,46058
Arkansas,41657,43325,44629
California,60549,63720,66619
Colorado,55604,58896,61157
Connecticut,71740,74855,77289
Delaware,50798,52930,54485
District of Columbia,79221,81243,83406
Florida,48504,50964,52426
Georgia,44894,46957,48236
Hawaii,53433,55214,57015
Idaho,42268,44554,45968
Illinois,54252,57145,58764
Indiana,45244,47321,48678
Iowa,47662,50175,51865
Kansas,48883,51261,53426
Kentucky,40904,42338,43770
Louisiana,43932,46207,47460
Maine,46565,48792,50634
Maryland,60758,62708,64640
Massachusetts,68442,71801,74187
Michigan,45948,47777,49228
Minnesota,54960,57371,58834
Mississippi,36536,37852,38914
Missouri,45342,47109,48656
Montana,46199,48194,49747
Nebraska,50645,52890,54515
Nevada,47650,50000,51161
New Hampshire,58759,61471,63502
New Jersey,64983,67845,70471
New Mexico,39747,41670,43326
New York,65814,68657,71717
North Carolina,44409,46216,47766
North Dakota,52736,55788,57232
Ohio,46829,48747,50199
Oklahoma,43794,45843,47341
Oregon,48762,51500,53191
Pennsylvania,53306,56032,58032
Rhode Island,52644,54431,56361
South Carolina,42227,43912,45438
South Dakota,49787,52633,53962
Tennessee,45233,47210,48684
Texas,48394,51136,52813
Utah,44178,47008,48939
Vermont,51697,53531,55293
Virginia,55631,57964,59657
Washington,58437,62209,64758
West Virginia,38927,41192,42315
Wisconsin,49264,51628,53227
Wyoming,56524,60689,62189
